종목코드,기업명
015350,신풍제약
015360,신풍제지
015540,신한
015590,신한알파리츠
015760,신한지주
015860,신화실업
015890,신흥
016090,쌍방울
016360,쌍용양회공업
016380,쌍용자동차
016450,써니전자
016580,씨아이테크
016590,씨에스윈드
016610,아남전자
016710,아모레퍼시픽
016740,아모레퍼시픽그룹
016800,아세아
016880,아세아시멘트
017040,아세아제지
017180,아시아나항공
017370,아이마켓코리아
017390,아이에스동서
017550,아이에이치큐
017670,아주캐피탈
017800,알루코
017810,애경산업
017900,애경유화
017940,에넥스
017960,에스엘
018250,에스원
018260,에스제이엠
018470,에스제이엠홀딩스
018500,에쓰씨엔지니어링
018670,에어부산
018880,에이리츠
019170,에이블씨엔씨
019180,에이엔피
019440,에이프로젠 KIC
019490,에이프로젠제약
019680,엔씨소프트
020000,엔에스쇼핑
020120,엔에이치엔
020150,엔케이
020560,엔케이물산
020760,엔피씨
021050,엘브이엠씨
021240,영보화학
021820,영원무역
023000,영원무역홀딩스
023150,영진약품
023350,영풍
023450,영풍제지
023530,영화금속
023590,영흥철강
023800,예스코홀딩스
023810,오뚜기
023960,오렌지라이프
024070,오리엔트바이오
024090,오리온
024110,오리온홀딩스
024720,용평리조트
024890,우리금융지주
024900,우리들제약
025000,우리들휴브레인
025530,우리종금
025540,우성사료
025560,우신시스템
025620,우진
025750,우진아이엔에스
025820,우진플라임
025860,웅진
025890,웅진씽크빅
026890,웅진에너지
026940,웅진코웨이
026960,원림
027390,웰바이오텍
027410,윌비스
027740,유나이티드
027970,유니드
028050,유니온
028100,유니온머티리얼
028260,유니켐
028670,유니퀘스트
029460,유성기업
029530,유수홀딩스
029780,유안타증권
030000,유양디앤유
030200,유엔젤
030210,유유제약
030610,유진증권
030720,유한양행
030790,유화증권
031430,율촌화학
031440,이건산업
031820,이구산업
032350,이노션
032560,이리츠코크렙
032640,이마트
032830,이수페타시스
033180,이수화학
033240,이스타코
033250,이아이디
033270,이연제약
033530,이월드
033660,이화산업
033780,인디에프
033920,인스코비
034020,인지컨트롤스
034120,인천도시가스
034220,인터지스
034300,인팩
034310,일동제약
034590,일동홀딩스
034730,일성건설
034830,일성신약
035000,일신방직
035150,일신석재
035250,일양약품
035420,일정실업
035510,일진다이아
035720,일진디스플
036460,일진머티리얼즈
036530,일진전기
036570,일진홀딩스
036580,잇츠한불
037270,자화전자
037560,전방
037710,제이에스코퍼레이션
039130,제이준코스메틱
039490,제일기획
039570,제일약품
041650,제일연마
042660,제일파마홀딩스
042670,제주은행
042700,제주항공
044380,조광페인트
044450,조광피혁
044820,조비
047040,조선내화
047050,조선선재
047400,조일알미늄
047810,조흥
049770,종근당
049800,종근당바이오
051600,종근당홀딩스
051630,주연테크
051900,지엠비코리아
051910,지역난방공사
052690,지코
053210,지투알
053690,진도
055490,진양산업
055550,진양폴리우레탄
057050,진양홀딩스
058430,진양화학
058650,진에어
058730,진원생명과학
058850,진흥기업
058860,참엔지니어링
060980,천일고속
063160,청호컴넷
064350,체시스
064960,카리스국보
066570,카카오
067830,카프로
068270,컨버즈
068290,케이비아이동국실업
068400,케이씨
069260,케이씨씨
069460,케이씨텍
069620,케이씨티시
069640,케이탑리츠
069730,케이티
069960,케이티스카이라이프
070960,케이티앤지
071050,코리아써키트
071090,코리아오토글라스
071320,코리안리
071840,코스맥스
071950,코스맥스비티아이
071970,코스모신소재
072130,코스모화학
072710,코아스
073240,코오롱
074610,코오롱글로벌
075180,코오롱머티리얼
075580,코오롱인더
077500,코오롱플라스틱
077970,콤텍시스템
078000,쿠쿠홀딩스
078520,쿠쿠홈시스
078930,큐로
079160,크라운제과
079430,크라운해태홀딩스
079440,키다리스튜디오
079550,키움증권
079980,키위미디어그룹
081000,태경산업
081660,태경화학
082640,태광산업
082740,태림포장
083370,태양금속공업
083380,태영건설
083420,태원물산
084010,태평양물산
084670,테이팩스
084680,텔코웨어
084690,토니모리
084870,티비에이치글로벌
085310,티에이치엔
085620,티웨이항공
086280,티웨이홀딩스
086790,파미셀
088260,팜스코
088350,팬오션
088790,퍼스텍
088980,퍼시스
089470,페이퍼코리아
089590,평화산업
090080,평화홀딩스
090350,포스코
090370,포스코강판
090430,포스코인터내셔널
091090,포스코케미칼
091810,폴루스바이오팜
092200,풀무원
092220,풍산
092230,풍산홀딩스
092440,필룩스
092780,하나금융지주
093050,하나니켈1호
093230,하나니켈2호
093240,하나제약
093370,하나투어
094280,하이골드12호
094800,하이골드3호
095570,하이골드8호
095720,하이스틸
096300,하이트론씨스템즈
096760,하이트진로
096770,하이트진로홀딩스
097230,한국ANKOR유전
097950,한국가스공사
099340,한국공항
099350,한국금융지주
100220,한국내화
100250,한국단자공업
100840,한국석유공업
101060,한국수출포장공업
101140,한국쉘석유
101530,한국자산신탁
102260,한국전력공사
102280,한국전자홀딩스
102460,한국제지
103130,한국조선해양
103140,한국종합기술
103590,한국주강
104700,한국주철관공업
105560,한국철강
105630,한국카본
105840,한국콜마
107590,한국콜마홀딩스
108670,한국타이어앤테크놀로지
109070,한국테크놀로지그룹
111110,한국토지신탁
111770,한국특수형강
112610,한국패러랠
114090,한국프랜지공업
115390,한국항공우주
117580,한국화장품
118000,한국화장품제조
119650,한농화성
120030,한독
120110,한라
122900,한라홀딩스
123690,한미글로벌
123700,한미반도체
123890,한미사이언스
126560,한미약품
128820,한샘
128940,한섬
129260,한성기업
130660,한세실업
133820,한세엠케이
134380,한세예스24홀딩스
134790,한솔로지스틱스
136490,한솔제지
138040,한솔케미칼
138250,한솔테크닉스
138490,한솔피엔에스
138930,한솔홀딩스
139130,한솔홈데코
139480,한신공영
140910,한신기계공업
143210,한양증권
144620,한온시스템
145210,한올바이오파마
145270,한익스프레스
145720,한일시멘트
145990,한일철강
152330,한일현대시멘트
152550,한일홀딩스
153360,한전KPS
155660,한전기술
155900,한전산업
159650,한진
161000,한진중공업
161390,한진중공업홀딩스
161890,한진칼
163560,한창
168490,한창제지
170900,한화
172580,한화갤러리아타임월드
175330,한화생명
180640,한화손해보험
181710,한화에어로스페이스
183190,한화케미칼
185750,한화투자증권
192080,해성디에스
192400,해태제과식품
192650,핸즈코퍼레이션
192820,현대건설
194370,현대건설기계
195870,현대그린푸드
200880,현대글로비스
204210,현대로템
204320,현대리바트
207940,현대모비스
210540,현대미포조선
210980,현대백화점
213500,현대비앤지스틸
214320,현대상선
214330,현대약품
214390,현대에이치씨엔
214420,현대엘리베이터
226320,현대오토에버
227840,현대위아
229640,현대일렉트릭
234080,현대자동차
241560,현대제철
241590,현대종합상사
248170,현대중공업지주
249420,현대차증권
251270,현대코퍼레이션홀딩스
264900,현대해상
267250,현대홈쇼핑
267260,형지엘리트
267270,혜인
267290,호전실업
268280,호텔신라
271560,화성산업
271980,화승알앤에이
272450,화승엔터프라이즈
272550,화승인더스트리
280360,화신
281820,화인베스틸
282330,화천기계
282690,화천기공
284740,환인제약
285130,황금에스티
286940,효성
293480,효성 ITX
293940,효성중공업
294870,효성첨단소재
298000,효성티앤씨
298020,효성화학
298040,후성
298050,휠라코리아
298690,휴니드테크놀러지스
300720,휴비스
306200,휴스틸
307950,휴켐스
316140,흥국화재
900140,흥아해운
